List Price,Sale Price,Days to Sell,Type
495.0,475.0,130,Gulf View
379.0,350.0,71,Gulf View
529.0,519.0,85,Gulf View
552.5,534.5,95,Gulf View
334.9,334.9,119,Gulf View
550.0,505.0,92,Gulf View
169.9,165.0,197,Gulf View
210.0,210.0,56,Gulf View
975.0,945.0,73,Gulf View
314.0,314.0,126,Gulf View
315.0,305.0,88,Gulf View
885.0,800.0,282,Gulf View
975.0,975.0,100,Gulf View
469.0,445.0,56,Gulf View
329.0,305.0,49,Gulf View
365.0,330.0,48,Gulf View
332.0,312.0,88,Gulf View
520.0,495.0,161,Gulf View
425.0,405.0,149,Gulf View
675.0,669.0,142,Gulf View
409.0,400.0,28,Gulf View
649.0,649.0,29,Gulf View
319.0,305.0,140,Gulf View
425.0,410.0,85,Gulf View
359.0,340.0,107,Gulf View
469.0,449.0,72,Gulf View
895.0,875.0,129,Gulf View
439.0,430.0,160,Gulf View
435.0,400.0,206,Gulf View
235.0,227.0,91,Gulf View
638.0,618.0,100,Gulf View
629.0,600.0,97,Gulf View
329.0,309.0,114,Gulf View
595.0,555.0,45,Gulf View
339.0,315.0,150,Gulf View
215.0,200.0,48,Gulf View
395.0,375.0,135,Gulf View
449.0,425.0,53,Gulf View
499.0,465.0,86,Gulf View
439.0,428.5,158,Gulf View
217.0,217.0,182,No Gulf View
148.0,135.5,338,No Gulf View
186.5,179.0,122,No Gulf View
239.0,230.0,150,No Gulf View
279.0,267.5,169,No Gulf View
215.0,214.0,58,No Gulf View
279.0,259.0,110,No Gulf View
179.9,176.5,130,No Gulf View
149.9,144.9,149,No Gulf View
235.0,230.0,114,No Gulf View
199.8,192.0,120,No Gulf View
210.0,195.0,61,No Gulf View
226.0,212.0,146,No Gulf View
149.9,146.5,137,No Gulf View
160.0,160.0,281,No Gulf View
322.0,292.5,63,No Gulf View
187.5,179.0,48,No Gulf View
247.0,227.0,52,No Gulf View
